Ensembl Gene ID	Ensembl Transcript ID	Affy zebrafish	HGNC symbol
ENSDARG00000032738	ENSDART00000129560	Dr.9723.1.A1_at	
ENSDARG00000032738	ENSDART00000129560	Dr.8695.1.S1_at	
ENSDARG00000032738	ENSDART00000050396	Dr.9723.1.A1_at	
ENSDARG00000032738	ENSDART00000050396	Dr.8695.1.S1_at	
ENSDARG00000067809	ENSDART00000097673		ARFGAP1
ENSDARG00000069977	ENSDART00000102293	Dr.774.1.S1_a_at	C11H12orf10
ENSDARG00000069977	ENSDART00000102293	Dr.24333.1.A1_at	C11H12orf10
ENSDARG00000069977	ENSDART00000102293	Dr.24333.1.A1_s_at	C11H12orf10
ENSDARG00000069977	ENSDART00000102293	Dr.774.1.S1_at	C11H12orf10
ENSDARG00000086216	ENSDART00000123384		PRR13
ENSDARG00000088347	ENSDART00000124104	Dr.9235.1.A1_at	
ENSDARG00000011407	ENSDART00000047844		COL2A1 (2 of 2)
ENSDARG00000091806	ENSDART00000129281		
ENSDARG00000091383	ENSDART00000127139		
ENSDARG00000089083	ENSDART00000128809		
ENSDARG00000063527	ENSDART00000092903		ELMO2
ENSDARG00000087937	ENSDART00000092787		CDK4
ENSDARG00000075748	ENSDART00000086166		NCKAP1L
ENSDARG00000077934	ENSDART00000108703	Dr.4039.7.S1_at	
ENSDARG00000059342	ENSDART00000104546		AVIL
ENSDARG00000021059	ENSDART00000005217	Dr.4829.1.A1_at	
ENSDARG00000045016	ENSDART00000066179	Dr.18308.1.A1_at	
ENSDARG00000024295	ENSDART00000035737	Dr.208.1.S1_at	
ENSDARG00000076518	ENSDART00000109091		METTL1
ENSDARG00000078533	ENSDART00000112538		
ENSDARG00000045015	ENSDART00000066178		CYP27B1
ENSDARG00000045017	ENSDART00000147426		PDRG1
ENSDARG00000045017	ENSDART00000136375		PDRG1
ENSDARG00000045017	ENSDART00000098124		PDRG1
ENSDARG00000070925	ENSDART00000104526		EDN3
ENSDARG00000074906	ENSDART00000122253		
ENSDARG00000034624	ENSDART00000040812	Dr.15726.1.S1_at	
ENSDARG00000034624	ENSDART00000133784		
ENSDARG00000034624	ENSDART00000137121		
ENSDARG00000059404	ENSDART00000082517		RAB43
ENSDARG00000004282	ENSDART00000005923		
ENSDARG00000063466	ENSDART00000093148	Dr.9018.1.A1_at	
